"filter_sal","MPG","PPG","APG","RPG","TOPG","BPG","SPG","Trusted","Agressiveness"
1e+07,26.1012658227848,7.24050632911392,1.78481012658228,3.83544303797468,0.949367088607595,0.810126582278481,1,"Yes","No"
2300000,24.6375,6.05,0.9625,2.95,0.5125,0.4125,0.525,"Yes","No"
7464912,21.6571428571429,7.52857142857143,1.37142857142857,4.18571428571429,0.942857142857143,0.685714285714286,0.757142857142857,"No","No"
1e+07,29.9864864864865,13.9864864864865,4.2972972972973,2.28378378378378,1.75675675675676,0.0540540540540541,1.02702702702703,"Yes","Yes"
2328652,18,7.1025641025641,1.83333333333333,3.96153846153846,0.871794871794872,0.705128205128205,0.564102564102564,"No","No"
22642350,33.7402597402597,12.7272727272727,1.16883116883117,13.7532467532468,1.38961038961039,2.2987012987013,0.662337662337662,"Yes","Yes"
1645200,8.48148148148148,3.81481481481481,1.14814814814815,1.37037037037037,0.592592592592593,0.111111111111111,0.296296296296296,"No","No"
27739975,35.9487179487179,23.4615384615385,4.03846153846154,4.47435897435897,2.24358974358974,0.269230769230769,1.03846153846154,"Yes","Yes"
18063850,34.5538461538462,26.8923076923077,3.29230769230769,11.4923076923077,3.83076923076923,1.41538461538462,1.55384615384615,"Yes","Yes"
14800000,30.2307692307692,11,1.03846153846154,4.69230769230769,1.07692307692308,0.230769230769231,1.69230769230769,"Yes","No"
15500000,20.2625,10.9875,4.3625,2.55,2.2875,0.1125,0.875,"No","Yes"
5500000,32.4,14.1230769230769,5.81538461538462,2.92307692307692,2.30769230769231,0.215384615384615,0.938461538461538,"Yes","Yes"
1.2e+07,31.9838709677419,16.3870967741935,1.51612903225806,8.11290322580645,1.67741935483871,1.46774193548387,1.19354838709677,"Yes","Yes"
2116955,31.7727272727273,16.3636363636364,4.71212121212121,3.40909090909091,2.65151515151515,0.212121212121212,0.666666666666667,"Yes","Yes"
104059,17.9375,9.325,0.9375,3.7,0.7625,0.1125,0.3625,"No","No"
2319360,27.7368421052632,13.7894736842105,2.63157894736842,2.46052631578947,2.10526315789474,0.263157894736842,0.578947368421053,"Yes","Yes"
4402546,20,7.609375,1.84375,2.15625,1.03125,0.203125,0.9375,"No","No"
6e+06,12.1551724137931,4.39655172413793,0.224137931034483,3.93103448275862,0.551724137931034,0.793103448275862,0.379310344827586,"No","No"
1.1e+07,27.5897435897436,9.76923076923077,1.97435897435897,2.58974358974359,1.53846153846154,0.192307692307692,1.03846153846154,"Yes","Yes"
5e+06,31.52,18.2933333333333,1.76,6.52,1.12,0.693333333333333,0.693333333333333,"Yes","No"
3294994,22.9753086419753,9.4320987654321,0.728395061728395,2.40740740740741,0.654320987654321,0.0740740740740741,0.172839506172839,"Yes","No"
16400000,34.6666666666667,13.962962962963,7.38271604938272,9.49382716049383,3.19753086419753,1.39506172839506,1.46913580246914,"Yes","Yes"
23500000,32.112676056338,13.7464788732394,1.38028169014085,11.7605633802817,2.33802816901408,1.59154929577465,0.971830985915493,"Yes","Yes"
9003125,14.3768115942029,5.78260869565217,0.63768115942029,3.95652173913043,0.579710144927536,0.347826086956522,0.521739130434783,"No","No"
2328652,30.5135135135135,19.0405405405405,4.64864864864865,4.08108108108108,2.74324324324324,0.567567567567568,1.06756756756757,"Yes","Yes"
15550000,30.5135135135135,19.0405405405405,4.64864864864865,4.08108108108108,2.74324324324324,0.567567567567568,1.06756756756757,"Yes","Yes"
8445024,21.4067796610169,7.50847457627119,1.67796610169492,2.25423728813559,0.898305084745763,0.305084745762712,0.627118644067797,"No","No"
6352531,20.7901234567901,6.49382716049383,1.08641975308642,7.39506172839506,0.790123456790123,0.888888888888889,0.703703703703704,"No","No"
3332340,29.3835616438356,10.6575342465753,6.41095890410959,3.57534246575342,2.42465753424658,0.273972602739726,1.21917808219178,"Yes","Yes"
3381480,30.4117647058824,12.8235294117647,5.47058823529412,3.41176470588235,3.19117647058824,0.514705882352941,0.955882352941177,"Yes","Yes"
20566802,20.9878048780488,12.6585365853659,0.402439024390244,8.09756097560976,1.40243902439024,0.402439024390244,0.317073170731707,"No","Yes"
